  0.69999999999999996        21000000000.000000     
    1143          0.31557300E+14
     0.1186980E+07            0.706316000000E+14            0.863342420000E+05
     0.1187100E+07            0.697740000000E+14            0.863306920000E+05
     0.1187220E+07            0.688897000000E+14            0.863270100000E+05
     0.1187340E+07            0.680162000000E+14            0.863233500000E+05
     0.1187450E+07            0.671431000000E+14            0.863196700000E+05
     0.1187570E+07            0.663265000000E+14            0.863162050000E+05
     0.1187690E+07            0.654873000000E+14            0.863126210000E+05
     0.1187800E+07            0.646595000000E+14            0.863090620000E+05
     0.1187920E+07            0.638321000000E+14            0.863054790000E+05
     0.1188030E+07            0.630544000000E+14            0.863020870000E+05
     0.1188150E+07            0.622579000000E+14            0.862985870000E+05
     0.1188260E+07            0.614733000000E+14            0.862951130000E+05
     0.1188370E+07            0.606892000000E+14            0.862916140000E+05
     0.1188480E+07            0.599486000000E+14            0.862882830000E+05
     0.1188590E+07            0.591924000000E+14            0.862848540000E+05
     0.1188700E+07            0.584487000000E+14            0.862814540000E+05
     0.1188820E+07            0.577054000000E+14            0.862780260000E+05
     0.1188920E+07            0.570000000000E+14            0.862747450000E+05
     0.1189030E+07            0.562820000000E+14            0.862713760000E+05
     0.1189140E+07            0.555769000000E+14            0.862680380000E+05
     0.1189250E+07            0.548722000000E+14            0.862646700000E+05
     0.1189360E+07            0.542003000000E+14            0.862614300000E+05
     0.1189470E+07            0.535185000000E+14            0.862581110000E+05
     0.1189570E+07            0.528497000000E+14            0.862548240000E+05
     0.1189680E+07            0.521812000000E+14            0.862515060000E+05
     0.1189790E+07            0.515414000000E+14            0.862482990000E+05
     0.1189890E+07            0.508938000000E+14            0.862450200000E+05
     0.1190000E+07            0.502592000000E+14            0.862417760000E+05
     0.1190110E+07            0.496249000000E+14            0.862384990000E+05
     0.1190210E+07            0.490157000000E+14            0.862353190000E+05
     0.1190320E+07            0.484004000000E+14            0.862320740000E+05
     0.1190420E+07            0.477982000000E+14            0.862288640000E+05
     0.1190530E+07            0.471961000000E+14            0.862256200000E+05
     0.1190630E+07            0.466160000000E+14            0.862224620000E+05
     0.1190740E+07            0.460314000000E+14            0.862192440000E+05
     0.1190840E+07            0.454596000000E+14            0.862160620000E+05
     0.1190940E+07            0.448879000000E+14            0.862128460000E+05
     0.1191050E+07            0.443357000000E+14            0.862097050000E+05
     0.1191150E+07            0.437801000000E+14            0.862065090000E+05
     0.1191260E+07            0.432370000000E+14            0.862033500000E+05
